Nama,Latitude,Longitude,Lokasi,Keterangan,Status
Pertashop depan Toko Metro,-0.861280408335139,131.25057072707182,Rufei,Tutup,Nonaktif
pertashop pasar baru modern rufei,-0.8532128087557714,131.24840131203132,Rufei,Kadang Buka,Aktif
pertashop Jalan Trikora Tampa Garam,-0.841053781245208,131.24363981311404,Tampa Garam,Tutup,Nonaktif
pertashop Bambu Kuning,-0.8944218152855717,131.33167608990234,Bambu Kuning,Buka,Aktif
Pertashop Jalan Sungai Kamundan,-0.8866813448639198,131.32387058912624,Kilo 12,Buka,Aktif
Pertashop Kilo 8,-0.881512002452101,131.297622035628,kilo 8,Buka,Aktif
SPBU Kilo 9,-0.8880598939703028,131.3094754962886,Kilo 9,Buka,Aktif
SPBU kilo 16,-0.9256959632699595,131.3357762288365,Kilo 16,Buka,Aktif
SPBU HBM,-0.8825972227779557,131.28300388465394,HBM,Buka,Aktif
SPBU Klaligi,-0.8834559054964816,131.26681145092783,Klaligi,Buka,Aktif
SPBU JL. Ahmad Yani,-0.8772908829768689,131.26056726930776,Ahmad Yani,Buka,Aktif
SPBU kampung Baru,-0.8693399823867831,131.25289031349038,Kampung Baru,Buka,Aktif
SPBU Jembatan Puri,-0.8840948157527752,131.26456607116344,Jembatan Puri,Tutup,Nonaktif
SPBU UT KM 13,-0.9109761790258646,131.330197,KM 13,Tutup,Nonaktif   
