InputID,TargetID,Distance
Pertashop depan Toko Metro,pertashop pasar baru modern rufei,924.174792440621
Pertashop depan Toko Metro,pertashop Jalan Trikora Tampa Garam,2365.86275149887
Pertashop depan Toko Metro,pertashop Bambu Kuning,9742.99802120851
Pertashop depan Toko Metro,Pertashop Jalan Sungai Kamundan,8628.68166890788
Pertashop depan Toko Metro,Pertashop Kilo 8,5694.91886392404
Pertashop depan Toko Metro,SPBU Kilo 9,7194.1535884239
Pertashop depan Toko Metro,SPBU kilo 16,11860.7446510072
Pertashop depan Toko Metro,SPBU HBM,4311.40376188756
Pertashop depan Toko Metro,SPBU Pasar Baru,3065.55868264992
Pertashop depan Toko Metro,SPBU Klaligi,3046.35989597903
Pertashop depan Toko Metro,SPBU JL. Ahmad Yani,2090.98174512478
Pertashop depan Toko Metro,SPBU kampung Baru,927.829829192414
Pertashop depan Toko Metro,SPBU Jembatan Puri,2964.90141055956
Pertashop depan Toko Metro,SPBU UT KM 13,10428.184384689
pertashop pasar baru modern rufei,Pertashop depan Toko Metro,924.174792440621
pertashop pasar baru modern rufei,pertashop Jalan Trikora Tampa Garam,1445.16858293141
pertashop pasar baru modern rufei,pertashop Bambu Kuning,10328.5148022778
pertashop pasar baru modern rufei,Pertashop Jalan Sungai Kamundan,9179.3085277053
pertashop pasar baru modern rufei,Pertashop Kilo 8,6309.26203263132
pertashop pasar baru modern rufei,SPBU Kilo 9,7814.05856358233
pertashop pasar baru modern rufei,SPBU kilo 16,12602.366413611
pertashop pasar baru modern rufei,SPBU HBM,5038.96389614243
pertashop pasar baru modern rufei,SPBU Pasar Baru,3940.56252636857
pertashop pasar baru modern rufei,SPBU Klaligi,3922.01802170111
pertashop pasar baru modern rufei,SPBU JL. Ahmad Yani,2987.00929583964
pertashop pasar baru modern rufei,SPBU kampung Baru,1851.93259336016
pertashop pasar baru modern rufei,SPBU Jembatan Puri,3859.77982166908
pertashop pasar baru modern rufei,SPBU UT KM 13,11121.4010541283
pertashop Jalan Trikora Tampa Garam,Pertashop depan Toko Metro,2365.86275149887
pertashop Jalan Trikora Tampa Garam,pertashop pasar baru modern rufei,1445.16858293141
pertashop Jalan Trikora Tampa Garam,pertashop Bambu Kuning,11438.7340967837
pertashop Jalan Trikora Tampa Garam,Pertashop Jalan Sungai Kamundan,10256.8858280581
pertashop Jalan Trikora Tampa Garam,Pertashop Kilo 8,7491.11435998912
pertashop Jalan Trikora Tampa Garam,SPBU Kilo 9,8984.14976300065
pertashop Jalan Trikora Tampa Garam,SPBU kilo 16,13884.1094631366
pertashop Jalan Trikora Tampa Garam,SPBU HBM,6348.15671583162
pertashop Jalan Trikora Tampa Garam,SPBU Pasar Baru,5369.29582228912
pertashop Jalan Trikora Tampa Garam,SPBU Klaligi,5351.1692494319
pertashop Jalan Trikora Tampa Garam,SPBU JL. Ahmad Yani,4427.78205173395
pertashop Jalan Trikora Tampa Garam,SPBU kampung Baru,3292.85408572461
pertashop Jalan Trikora Tampa Garam,SPBU Jembatan Puri,5298.65408936852
pertashop Jalan Trikora Tampa Garam,SPBU UT KM 13,12353.1184607319
pertashop Bambu Kuning,Pertashop depan Toko Metro,9742.99802120851
pertashop Bambu Kuning,pertashop pasar baru modern rufei,10328.5148022778
pertashop Bambu Kuning,pertashop Jalan Trikora Tampa Garam,11438.7340967837
pertashop Bambu Kuning,Pertashop Jalan Sungai Kamundan,1219.5805515686
pertashop Bambu Kuning,Pertashop Kilo 8,4050.31966195676
pertashop Bambu Kuning,SPBU Kilo 9,2569.24338869316
pertashop Bambu Kuning,SPBU kilo 16,3488.10845812326
pertashop Bambu Kuning,SPBU HBM,5573.06509465162
pertashop Bambu Kuning,SPBU Pasar Baru,7302.3966470161
pertashop Bambu Kuning,SPBU Klaligi,7320.94946599302
pertashop Bambu Kuning,SPBU JL. Ahmad Yani,8138.37450925352
pertashop Bambu Kuning,SPBU kampung Baru,9197.47242430154
pertashop Bambu Kuning,SPBU Jembatan Puri,7556.53676666693
pertashop Bambu Kuning,SPBU UT KM 13,1837.87975847107
Pertashop Jalan Sungai Kamundan,Pertashop depan Toko Metro,8628.68166890788
Pertashop Jalan Sungai Kamundan,pertashop pasar baru modern rufei,9179.3085277053
Pertashop Jalan Sungai Kamundan,pertashop Jalan Trikora Tampa Garam,10256.8858280581
Pertashop Jalan Sungai Kamundan,pertashop Bambu Kuning,1219.5805515686
Pertashop Jalan Sungai Kamundan,Pertashop Kilo 8,2977.01969220053
Pertashop Jalan Sungai Kamundan,SPBU Kilo 9,1609.49805863227
